Count,seller_loan_no,Asset Type,submit_date,original_balance,purchase_price,Current Balance,APR,term,Property City,Property State,Monthly Payment,Monthly Payment Date,state,fico,loan_program,Total Dealer $,Mkt Fee ($),Stamp fee,SFC Net Margin $,lender_price_pct,Adv. Rate,Dealer Fee,Mkt Fee (%),DTI,DPD,PTI,Income,application_type,platform,unnamed_1,TU_144,Loan Product Variables,loan program,loan_term,Avg Loan Size $'s,coupon,cdr_promo,constant_cpr,servicing_cost,late_percent,recovery_percent,promo_term,Promo Period Prepayment,modeled_purchase_price,SFC Loan Margin,SFC Purchase Price,Merchant Discount,cdr,yield,weight,weight(old),weight(worst case),Purchase Price(Worst Case),tagging,cpr,platform,type,proposed_cdr_promo,proposed_cdr,proposed_cpr,proposed_promo_cpr_percent,irr_support,new_programs,proposed_cdr_promo_old,proposed_cdr_old,constant_cpr_old,cdr_promo_old,cdr_old,cpr_old,loan_type
9,SFC_5663512,WINDOWS/DOORS,2025-03-28,45437.77,43938.32,45437.77,19.5,60,BRADENTON,FL,1191.22,2025-10-16,FL,762,18 Mth WPDI,42788.86,339.59,158.55,651.32,96.7,94.5,5.5,0.0075,0.3425,0,14.89,96000,RESIDENTIAL,prime,,,WP18,18 Mth WPDI,59.0,10000.0,2136.0,0.0186,0.2705,0.02,2e-05,0.35,18.0,0.7855632646651717,0.9594999999999999,0.012499999999999956,0.947,0.05300000000000005,0.0531,0.09621847590426391,0.01295,0.018253998014788872,0.05,2083333.3333333333,PRIME,0.0628324181433995;0.0408385410486935;0.0369529552615553;0.0342505855761147;0.0360444673455377;0.0342760224870836;0.034925225567199;0.0325781332673581;0.033301047422053;0.0336283273168834;0.036171644516601;0.0363542883332323;0.0358565574961247;0.0356553513213916;0.039832222527633;0.0498596224428832;0.0778039535101948;0.094401901081233,prime,wpdi,0.015,0.05,0.25,1.0,0.0125,,,,,,,,unknown
9,SFC_5663512,WINDOWS/DOORS,2025-03-28,45437.77,43938.32,45437.77,19.5,60,BRADENTON,FL,1191.22,2025-10-16,FL,762,18 Mth WPDI,42788.86,339.59,158.55,651.32,96.7,94.5,5.5,0.0075,0.3425,0,14.89,96000,RESIDENTIAL,prime,,,WP18,18 Mth WPDI,58.0,10000.0,2200.0,0.0251,0.2570131893885484,0.02,2e-05,0.35,18.0,0.8202705769902632,0.9592,0.012499999999999956,0.9467000000000001,0.0532999999999999,0.0643,0.07946255199583696,0.1951,0.041090767478203234,0.05,2083333.3333333333,SFY,0.0652777389894097;0.0356953756194261;0.034058164028278;0.0279406174401888;0.031594188639639;0.0340876225347276;0.0330167624837598;0.0298519380389914;0.0339574704072298;0.0358908101981715;0.0344087960474102;0.0341519438576293;0.0374083860415759;0.0324308183993861;0.0438555113830001;0.0622556562993365;0.0907677106631277;0.123621065918976,sfy,wpdi,0.013,0.0643,0.3,1.0,0.0125,,,,,,,,unknown
10,SFC_5910631,ROOFING MATERIAL,2025-06-10,45157.5,43667.3,45157.5,19.5,60,FORT LAUDERDALE,FL,1183.87,2025-10-16,FL,711,18 Mth WPDI,42525,0,157.5,984.8,96.7,94.5,5.5,0,0.4516,0,5.92,240000,RESIDENTIAL,prime,,,WP18,18 Mth WPDI,59.0,10000.0,2136.0,0.0186,0.2705,0.02,2e-05,0.35,18.0,0.7855632646651717,0.9594999999999999,0.012499999999999956,0.947,0.05300000000000005,0.0531,0.09621847590426391,0.01295,0.018253998014788872,0.05,2083333.3333333333,PRIME,0.0628324181433995;0.0408385410486935;0.0369529552615553;0.0342505855761147;0.0360444673455377;0.0342760224870836;0.034925225567199;0.0325781332673581;0.033301047422053;0.0336283273168834;0.036171644516601;0.0363542883332323;0.0358565574961247;0.0356553513213916;0.039832222527633;0.0498596224428832;0.0778039535101948;0.094401901081233,prime,wpdi,0.015,0.05,0.25,1.0,0.0125,,,,,,,,unknown
10,SFC_5910631,ROOFING MATERIAL,2025-06-10,45157.5,43667.3,45157.5,19.5,60,FORT LAUDERDALE,FL,1183.87,2025-10-16,FL,711,18 Mth WPDI,42525,0,157.5,984.8,96.7,94.5,5.5,0,0.4516,0,5.92,240000,RESIDENTIAL,prime,,,WP18,18 Mth WPDI,58.0,10000.0,2200.0,0.0251,0.2570131893885484,0.02,2e-05,0.35,18.0,0.8202705769902632,0.9592,0.012499999999999956,0.9467000000000001,0.0532999999999999,0.0643,0.07946255199583696,0.1951,0.041090767478203234,0.05,2083333.3333333333,SFY,0.0652777389894097;0.0356953756194261;0.034058164028278;0.0279406174401888;0.031594188639639;0.0340876225347276;0.0330167624837598;0.0298519380389914;0.0339574704072298;0.0358908101981715;0.0344087960474102;0.0341519438576293;0.0374083860415759;0.0324308183993861;0.0438555113830001;0.0622556562993365;0.0907677106631277;0.123621065918976,sfy,wpdi,0.013,0.0643,0.3,1.0,0.0125,,,,,,,,unknown
11,SFC_5978189,ROOFING MATERIAL,2025-06-28,45000.0,43515.0,45000,13.99,60,CHADDS FORD,PA,1046.84,2025-10-16,PA,729,18 Mth WPDI,42862.5,225,0,427.5,96.7,95.25,4.75,0.005,0.2026,0,1.57,800004,RESIDENTIAL,prime,,,WP18,18 Mth WPDI,59.0,10000.0,2136.0,0.0186,0.2705,0.02,2e-05,0.35,18.0,0.7855632646651717,0.9594999999999999,0.012499999999999956,0.947,0.05300000000000005,0.0531,0.09621847590426391,0.01295,0.018253998014788872,0.05,2083333.3333333333,PRIME,0.0628324181433995;0.0408385410486935;0.0369529552615553;0.0342505855761147;0.0360444673455377;0.0342760224870836;0.034925225567199;0.0325781332673581;0.033301047422053;0.0336283273168834;0.036171644516601;0.0363542883332323;0.0358565574961247;0.0356553513213916;0.039832222527633;0.0498596224428832;0.0778039535101948;0.094401901081233,prime,wpdi,0.015,0.05,0.25,1.0,0.0125,,,,,,,,unknown
11,SFC_5978189,ROOFING MATERIAL,2025-06-28,45000.0,43515.0,45000,13.99,60,CHADDS FORD,PA,1046.84,2025-10-16,PA,729,18 Mth WPDI,42862.5,225,0,427.5,96.7,95.25,4.75,0.005,0.2026,0,1.57,800004,RESIDENTIAL,prime,,,WP18,18 Mth WPDI,58.0,10000.0,2200.0,0.0251,0.2570131893885484,0.02,2e-05,0.35,18.0,0.8202705769902632,0.9592,0.012499999999999956,0.9467000000000001,0.0532999999999999,0.0643,0.07946255199583696,0.1951,0.041090767478203234,0.05,2083333.3333333333,SFY,0.0652777389894097;0.0356953756194261;0.034058164028278;0.0279406174401888;0.031594188639639;0.0340876225347276;0.0330167624837598;0.0298519380389914;0.0339574704072298;0.0358908101981715;0.0344087960474102;0.0341519438576293;0.0374083860415759;0.0324308183993861;0.0438555113830001;0.0622556562993365;0.0907677106631277;0.123621065918976,sfy,wpdi,0.013,0.0643,0.3,1.0,0.0125,,,,,,,,unknown
12,SFC_6189168,HVAC EQUIPMENT,2025-08-29,42561.0,41092.65,42561,9.35,123,KELLER,TX,560.09,2026-01-16,WA,763,Unsec Std - 990 - 123,40539.35,63.84,0,489.46,96.55,95.25,4.75,0.0015,0.1759,0,0.56,1200000,RESIDENTIAL,prime,,,NINP4331,Unsec Std - 990 - 123,123.0,10000.0,990.0,0.0166,0.1696,0.02,2e-05,0.35,3.0,0.13000000000000003,0.958,0.012499999999999956,0.9455,0.05449999999999999,0.0166,0.07452730435873711,0.00955,0.0002372249157508535,0.0,0.0,PRIME,0.0363405847853139;0.0425899377937978;0.0510694774208883,prime,hybrid,0.0227,0.0242185,0.22,1.0,0.0125,,,,,,,,standard
13,SFC_5989734,DECORATIVE CONCRETE,2025-07-01,41217.0,39856.84,41217,17.99,60,CONROE,TX,1046.42,2025-10-16,TX,718,18 Mth WPDI,39156.15,0,0,700.69,96.7,95,5,0,0.3951,0,2.99,420000,RESIDENTIAL,prime,,,WP18,18 Mth WPDI,59.0,10000.0,2136.0,0.0186,0.2705,0.02,2e-05,0.35,18.0,0.7855632646651717,0.9594999999999999,0.012499999999999956,0.947,0.05300000000000005,0.0531,0.09621847590426391,0.01295,0.018253998014788872,0.05,2083333.3333333333,PRIME,0.0628324181433995;0.0408385410486935;0.0369529552615553;0.0342505855761147;0.0360444673455377;0.0342760224870836;0.034925225567199;0.0325781332673581;0.033301047422053;0.0336283273168834;0.036171644516601;0.0363542883332323;0.0358565574961247;0.0356553513213916;0.039832222527633;0.0498596224428832;0.0778039535101948;0.094401901081233,prime,wpdi,0.015,0.05,0.25,1.0,0.0125,,,,,,,,unknown
13,SFC_5989734,DECORATIVE CONCRETE,2025-07-01,41217.0,39856.84,41217,17.99,60,CONROE,TX,1046.42,2025-10-16,TX,718,18 Mth WPDI,39156.15,0,0,700.69,96.7,95,5,0,0.3951,0,2.99,420000,RESIDENTIAL,prime,,,WP18,18 Mth WPDI,58.0,10000.0,2200.0,0.0251,0.2570131893885484,0.02,2e-05,0.35,18.0,0.8202705769902632,0.9592,0.012499999999999956,0.9467000000000001,0.0532999999999999,0.0643,0.07946255199583696,0.1951,0.041090767478203234,0.05,2083333.3333333333,SFY,0.0652777389894097;0.0356953756194261;0.034058164028278;0.0279406174401888;0.031594188639639;0.0340876225347276;0.0330167624837598;0.0298519380389914;0.0339574704072298;0.0358908101981715;0.0344087960474102;0.0341519438576293;0.0374083860415759;0.0324308183993861;0.0438555113830001;0.0622556562993365;0.0907677106631277;0.123621065918976,sfy,wpdi,0.013,0.0643,0.3,1.0,0.0125,,,,,,,,unknown
14,SFC_5288523,WINDOWS/DOORS,2024-11-01,40140.0,36318.67,40140,19.5,84,WELLINGTON,FL,879.31,2027-06-16,FL,740,NINP - 20 Mo,34800,0,140,1378.67,90.48,87,13,0,0.1668,0,2.93,360000,RESIDENTIAL,prime,,,NINP20,NINP - 20 Mo,99.0,10000.0,2145.0,0.0114,0.3365,0.02,2e-05,0.35,20.0,0.7803,0.8973,0.012499999999999956,0.8848,0.11519999999999997,0.0726,0.08215117463215016,0.0066,0.011901400675684284,0.0,0.0,PRIME,0.046;0.0307;0.0307;0.0307;0.0307;0.0307;0.0307;0.0307;0.0307;0.0307;0.0307;0.0307;0.0307;0.0307;0.0307;0.0307;0.0307;0.0471;0.0911;0.1049,prime,ninp,0.0257,0.0726,0.3365,1.0,0.0125,,,,,,,,ninp
14,SFC_5288523,WINDOWS/DOORS,2024-11-01,40140.0,36318.67,40140,19.5,84,WELLINGTON,FL,879.31,2027-06-16,FL,740,NINP - 20 Mo,34800,0,140,1378.67,90.48,87,13,0,0.1668,0,2.93,360000,RESIDENTIAL,prime,,,NINP20,NINP - 20 Mo,96.0,10000.0,2200.0,0.013222633524994162,0.2719,0.02,2e-05,0.35,20.0,0.8839999999999999,0.8949,0.012499999999999956,0.8824000000000001,0.11759999999999993,0.013222633524994162,0.0826715029780134,0.0085,0.01881535978886887,0.0,0.0,SFY,0.031;0.0305;0.0305;0.0305;0.0305;0.0305;0.0305;0.0305;0.0305;0.0305;0.0305;0.0305;0.0305;0.0305;0.0305;0.0305;0.0305;0.04;0.15;0.175,sfy,ninp,0.0304,0.02,0.45,1.0,0.0125,,,,,,,,ninp
15,SFC_6185458,HVAC EQUIPMENT,2025-08-28,40140.0,40308.59,40140,12.9,180,WINTER GARDEN,FL,505.23,2025-10-16,FL,712,Unsec Std - 1290 - 180,39600,200,140,368.59,100.42,99,1,0.005,0.1664,0,1.58,384000,RESIDENTIAL,prime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standard
16,SFC_5614973,WINDOWS/DOORS,2025-03-12,40140.0,39642.26,40140,9.9,180,BOCA RATON,FL,428.89,2025-10-16,FL,749,Unsec Std - 990 - 180,40000,0,140,-497.74,98.76,100,0,0,0.247,0,0.97,528000,RESIDENTIAL,prime,,,990 - 180,Unsec Std - 990 - 180,180.0,10000.0,990.0,0.0,0.1679,0.02,2e-05,0.35,0.0,,0.9801,0.012499999999999956,0.9676,0.032399999999999984,0.0207,0.07056702765910927,0.0628,0.08601302135113863,0.0,0.0,PRIME,0,prime,standard,0.0,0.025063500000000006,0.2,1.0,0.0125,,,,,,,,standard
17,SFC_5645371,WINDOWS/DOORS,2025-03-22,40140.0,36318.67,40140,19.5,84,DUNEDIN,FL,879.31,2027-06-16,FL,736,NINP - 20 Mo,34400,100,140,1678.67,90.48,86,14,0.0025,0.1839,0,5.61,187992,RESIDENTIAL,prime,,,NINP20,NINP - 20 Mo,99.0,10000.0,2145.0,0.0114,0.3365,0.02,2e-05,0.35,20.0,0.7803,0.8973,0.012499999999999956,0.8848,0.11519999999999997,0.0726,0.08215117463215016,0.0066,0.011901400675684284,0.0,0.0,PRIME,0.046;0.0307;0.0307;0.0307;0.0307;0.0307;0.0307;0.0307;0.0307;0.0307;0.0307;0.0307;0.0307;0.0307;0.0307;0.0307;0.0307;0.0471;0.0911;0.1049,prime,ninp,0.0257,0.0726,0.3365,1.0,0.0125,,,,,,,,ninp
