Count,seller_loan_no,Asset Type,submit_date,original_balance,purchase_price,Current Balance,APR,term,Property City,Property State,Monthly Payment,Monthly Payment Date,state,fico,loan_program,Total Dealer $,Mkt Fee ($),Stamp fee,SFC Net Margin $,lender_price_pct,Adv. Rate,Dealer Fee,Mkt Fee (%),DTI,DPD,PTI,Income,application_type,platform,unnamed_1,TU_144,Loan Product Variables,loan program,loan_term,Avg Loan Size $'s,coupon,cdr_promo,constant_cpr,servicing_cost,late_percent,recovery_percent,promo_term,Promo Period Prepayment,modeled_purchase_price,SFC Loan Margin,SFC Purchase Price,Merchant Discount,cdr,yield,weight,weight(old),weight(worst case),Purchase Price(Worst Case),tagging,cpr,platform,type,proposed_cdr_promo,proposed_cdr,proposed_cpr,proposed_promo_cpr_percent,irr_support,new_programs,proposed_cdr_promo_old,proposed_cdr_old,constant_cpr_old,cdr_promo_old,cdr_old,cpr_old,loan_type
690,SFC_6196707,HVAC EQUIPMENT,2025-09-02,10985.7,11175.75,10985.7,12.9,120,PEORIA,AZ,163.38,2025-10-16,AZ,708,Unsec Std - 1290 - 120,10985.7,0,0,190.05,101.73,100,0,0,0.3192,0,1.02,192000,RESIDENTIAL,prime,,,1290 - 120,Unsec Std - 1290 - 120,120.0,10000.0,1290.0,0.0,0.13575087101908936,0.02,2e-05,0.35,0.0,,1.0097999999999998,0.012499999999999956,0.9973,0.0027000000000000357,0.0333,0.08115215220930683,0.0085,0.0038510223710689602,0.03,1249999.9999999998,PRIME,0,prime,standard,0.0,0.046548,0.15,1.0,0.0125,,,,,,,,standard
690,SFC_6196707,HVAC EQUIPMENT,2025-09-02,10985.7,11175.75,10985.7,12.9,120,PEORIA,AZ,163.38,2025-10-16,AZ,708,Unsec Std - 1290 - 120,10985.7,0,0,190.05,101.73,100,0,0,0.3192,0,1.02,192000,RESIDENTIAL,prime,,,,Unsec Std - 1290 - 120,120.0,10000.0,1290.0,0.0,0.2530827726253024,0.02,2e-05,0.35,0.0,,1.0045,0.012499999999999956,0.992,,0.026718045953897346,0.08722111694008294,0.0,0.0,0.0,0.0,SFY,0,sfy,standard,0.0,0.035,0.18,1.0,0.0125,,,,,,,,standard
691,SFC_6145058,BATH TUB AND SHOWER SYSTEMS,2025-08-15,10975.0,11136.33,10975,10.9,120,NEW CASTLE,DE,150.56,2025-10-16,DE,764,Unsec Std - 1090 - 120,10975,54.88,0,106.45,101.47,100,0,0.005,0.1871,0,3.76,48000,RESIDENTIAL,prime,,,1090 - 120,Unsec Std - 1090 - 120,120.0,10000.0,1090.0,0.0,0.1695951850114601,0.02,2e-05,0.35,0.0,,1.0072,0.012499999999999956,0.9947,0.005299999999999971,0.0166,0.0743568173514495,0.00845,0.01718832812703956,0.0,0.0,PRIME,0,prime,standard,0.0,0.0203675,0.18,1.0,0.0125,,,,,,,,standard
692,SFC_6147459,HVAC EQUIPMENT,2025-08-16,10973.0,11162.83,10973,12.9,120,PHOENIX,AZ,163.19,2025-10-16,AZ,721,Unsec Std - 1290 - 120,10698.68,71.32,0,392.83,101.73,97.5,2.5,0.0065,0.3954,0,1.99,98400,RESIDENTIAL,prime,,,1290 - 120,Unsec Std - 1290 - 120,120.0,10000.0,1290.0,0.0,0.13575087101908936,0.02,2e-05,0.35,0.0,,1.0097999999999998,0.012499999999999956,0.9973,0.0027000000000000357,0.0333,0.08115215220930683,0.0085,0.0038510223710689602,0.03,1249999.9999999998,PRIME,0,prime,standard,0.0,0.046548,0.15,1.0,0.0125,,,,,,,,standard
692,SFC_6147459,HVAC EQUIPMENT,2025-08-16,10973.0,11162.83,10973,12.9,120,PHOENIX,AZ,163.19,2025-10-16,AZ,721,Unsec Std - 1290 - 120,10698.68,71.32,0,392.83,101.73,97.5,2.5,0.0065,0.3954,0,1.99,98400,RESIDENTIAL,prime,,,,Unsec Std - 1290 - 120,120.0,10000.0,1290.0,0.0,0.2530827726253024,0.02,2e-05,0.35,0.0,,1.0045,0.012499999999999956,0.992,,0.026718045953897346,0.08722111694008294,0.0,0.0,0.0,0.0,SFY,0,sfy,standard,0.0,0.035,0.18,1.0,0.0125,,,,,,,,standard
693,SFC_6177825,HVAC EQUIPMENT,2025-08-26,10959.0,10731.05,10959,12.9,97,YUBA CITY,CA,182.49,2025-10-16,CA,730,Unsec Std - 1290 - 97,10438.45,136.99,0,155.61,97.92,95.25,4.75,0.0125,0.4133,0,1.99,110004,RESIDENTIAL,prime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standard
694,SFC_6112411,HVAC EQUIPMENT,2025-08-06,10952.0,10590.58,10952,23.99,60,HOLLY,MI,315,2025-10-16,MI,758,18 Mth WPDI,10404.4,0,0,186.18,96.7,95,5,0,0.3842,0,5.25,72000,RESIDENTIAL,prime,,,WP18,18 Mth WPDI,59.0,10000.0,2136.0,0.0186,0.2705,0.02,2e-05,0.35,18.0,0.7855632646651717,0.9594999999999999,0.012499999999999956,0.947,0.05300000000000005,0.0531,0.09621847590426391,0.01295,0.018253998014788872,0.05,2083333.3333333333,PRIME,0.0628324181433995;0.0408385410486935;0.0369529552615553;0.0342505855761147;0.0360444673455377;0.0342760224870836;0.034925225567199;0.0325781332673581;0.033301047422053;0.0336283273168834;0.036171644516601;0.0363542883332323;0.0358565574961247;0.0356553513213916;0.039832222527633;0.0498596224428832;0.0778039535101948;0.094401901081233,prime,wpdi,0.015,0.05,0.25,1.0,0.0125,,,,,,,,unknown
694,SFC_6112411,HVAC EQUIPMENT,2025-08-06,10952.0,10590.58,10952,23.99,60,HOLLY,MI,315,2025-10-16,MI,758,18 Mth WPDI,10404.4,0,0,186.18,96.7,95,5,0,0.3842,0,5.25,72000,RESIDENTIAL,prime,,,WP18,18 Mth WPDI,58.0,10000.0,2200.0,0.0251,0.2570131893885484,0.02,2e-05,0.35,18.0,0.8202705769902632,0.9592,0.012499999999999956,0.9467000000000001,0.0532999999999999,0.0643,0.07946255199583696,0.1951,0.041090767478203234,0.05,2083333.3333333333,SFY,0.0652777389894097;0.0356953756194261;0.034058164028278;0.0279406174401888;0.031594188639639;0.0340876225347276;0.0330167624837598;0.0298519380389914;0.0339574704072298;0.0358908101981715;0.0344087960474102;0.0341519438576293;0.0374083860415759;0.0324308183993861;0.0438555113830001;0.0622556562993365;0.0907677106631277;0.123621065918976,sfy,wpdi,0.013,0.0643,0.3,1.0,0.0125,,,,,,,,unknown
695,SFC_6192253,HVAC-PLUMBING EQUIPMENT,2025-08-31,10940.0,11129.26,10940,12.9,120,Palmdale,CA,162.7,2025-10-16,CA,733,Unsec Std - 1290 - 120,10666.5,87.52,0,375.24,101.73,97.5,2.5,0.008,0.063,0,0.2,960000,RESIDENTIAL,prime,,,1290 - 120,Unsec Std - 1290 - 120,120.0,10000.0,1290.0,0.0,0.13575087101908936,0.02,2e-05,0.35,0.0,,1.0097999999999998,0.012499999999999956,0.9973,0.0027000000000000357,0.0333,0.08115215220930683,0.0085,0.0038510223710689602,0.03,1249999.9999999998,PRIME,0,prime,standard,0.0,0.046548,0.15,1.0,0.0125,,,,,,,,standard
695,SFC_6192253,HVAC-PLUMBING EQUIPMENT,2025-08-31,10940.0,11129.26,10940,12.9,120,Palmdale,CA,162.7,2025-10-16,CA,733,Unsec Std - 1290 - 120,10666.5,87.52,0,375.24,101.73,97.5,2.5,0.008,0.063,0,0.2,960000,RESIDENTIAL,prime,,,,Unsec Std - 1290 - 120,120.0,10000.0,1290.0,0.0,0.2530827726253024,0.02,2e-05,0.35,0.0,,1.0045,0.012499999999999956,0.992,,0.026718045953897346,0.08722111694008294,0.0,0.0,0.0,0.0,SFY,0,sfy,standard,0.0,0.035,0.18,1.0,0.0125,,,,,,,,standard
696,SFC_6170162,BATH TUB AND SHOWER SYSTEMS,2025-08-23,10921.0,9881.32,10921,17.99,60,CHAPEL HILL,NC,277.26,2027-06-16,NC,732,NINP - 20 Mo,9501.27,0,0,380.05,90.48,87,13,0,0.0739,0,7.39,45000,RESIDENTIAL,prime,,,NINP20,NINP - 20 Mo,99.0,10000.0,2145.0,0.0114,0.3365,0.02,2e-05,0.35,20.0,0.7803,0.8973,0.012499999999999956,0.8848,0.11519999999999997,0.0726,0.08215117463215016,0.0066,0.011901400675684284,0.0,0.0,PRIME,0.046;0.0307;0.0307;0.0307;0.0307;0.0307;0.0307;0.0307;0.0307;0.0307;0.0307;0.0307;0.0307;0.0307;0.0307;0.0307;0.0307;0.0471;0.0911;0.1049,prime,ninp,0.0257,0.0726,0.3365,1.0,0.0125,,,,,,,,ninp
696,SFC_6170162,BATH TUB AND SHOWER SYSTEMS,2025-08-23,10921.0,9881.32,10921,17.99,60,CHAPEL HILL,NC,277.26,2027-06-16,NC,732,NINP - 20 Mo,9501.27,0,0,380.05,90.48,87,13,0,0.0739,0,7.39,45000,RESIDENTIAL,prime,,,NINP20,NINP - 20 Mo,96.0,10000.0,2200.0,0.013222633524994162,0.2719,0.02,2e-05,0.35,20.0,0.8839999999999999,0.8949,0.012499999999999956,0.8824000000000001,0.11759999999999993,0.013222633524994162,0.0826715029780134,0.0085,0.01881535978886887,0.0,0.0,SFY,0.031;0.0305;0.0305;0.0305;0.0305;0.0305;0.0305;0.0305;0.0305;0.0305;0.0305;0.0305;0.0305;0.0305;0.0305;0.0305;0.0305;0.04;0.15;0.175,sfy,ninp,0.0304,0.02,0.45,1.0,0.0125,,,,,,,,ninp
697,SFC_6190100,HVAC EQUIPMENT,2025-08-29,10913.15,10541.01,10913.15,9.9,60,DELAND,FL,231.34,2025-10-16,FL,743,Unsec Std - 990 - 60,10331.25,54.38,38.15,117.23,96.59,95,5,0.005,0.3063,0,4.63,60000,RESIDENTIAL,prime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standard
698,SFC_5855839,WINDOWS/DOORS,2025-05-24,10892.15,10532.71,10892.15,19.5,60,TAMPA,FL,285.55,2025-10-16,FL,757,18 Mth WPDI,10257.03,54.27,38.15,183.26,96.7,94.5,5.5,0.005,0.229,0,1.91,180000,RESIDENTIAL,prime,,,WP18,18 Mth WPDI,59.0,10000.0,2136.0,0.0186,0.2705,0.02,2e-05,0.35,18.0,0.7855632646651717,0.9594999999999999,0.012499999999999956,0.947,0.05300000000000005,0.0531,0.09621847590426391,0.01295,0.018253998014788872,0.05,2083333.3333333333,PRIME,0.0628324181433995;0.0408385410486935;0.0369529552615553;0.0342505855761147;0.0360444673455377;0.0342760224870836;0.034925225567199;0.0325781332673581;0.033301047422053;0.0336283273168834;0.036171644516601;0.0363542883332323;0.0358565574961247;0.0356553513213916;0.039832222527633;0.0498596224428832;0.0778039535101948;0.094401901081233,prime,wpdi,0.015,0.05,0.25,1.0,0.0125,,,,,,,,unknown
698,SFC_5855839,WINDOWS/DOORS,2025-05-24,10892.15,10532.71,10892.15,19.5,60,TAMPA,FL,285.55,2025-10-16,FL,757,18 Mth WPDI,10257.03,54.27,38.15,183.26,96.7,94.5,5.5,0.005,0.229,0,1.91,180000,RESIDENTIAL,prime,,,WP18,18 Mth WPDI,58.0,10000.0,2200.0,0.0251,0.2570131893885484,0.02,2e-05,0.35,18.0,0.8202705769902632,0.9592,0.012499999999999956,0.9467000000000001,0.0532999999999999,0.0643,0.07946255199583696,0.1951,0.041090767478203234,0.05,2083333.3333333333,SFY,0.0652777389894097;0.0356953756194261;0.034058164028278;0.0279406174401888;0.031594188639639;0.0340876225347276;0.0330167624837598;0.0298519380389914;0.0339574704072298;0.0358908101981715;0.0344087960474102;0.0341519438576293;0.0374083860415759;0.0324308183993861;0.0438555113830001;0.0622556562993365;0.0907677106631277;0.123621065918976,sfy,wpdi,0.013,0.0643,0.3,1.0,0.0125,,,,,,,,unknown
699,SFC_5833535,ROOFING MATERIAL,2025-05-19,10890.15,10200.8,10890.15,23.99,60,WESTMINSTER,MD,313.22,2025-10-16,MD,753,24 Mth WPDI,9991.71,0,0,209.09,93.67,91.75,8.25,0,0.2408,0,3.13,120000,RESIDENTIAL,prime,,,WP24,24 Mth WPDI,59.0,10000.0,2136.0,0.0291,0.1948,0.02,2e-05,0.35,24.0,0.8113887652096501,0.9291999999999999,0.012499999999999956,0.9167,0.08330000000000004,0.0123,0.10321129859987899,0.0013,0.0036548922195523523,0.0,0.0,PRIME,0.0538802514747746;0.0450107112074825;0.0290435059631223;0.0269110688933608;0.0329133419615629;0.03778226424726;0.0232883570793076;0.0303450750062364;0.0278511944142547;0.0204041596515225;0.0287588205249249;0.024276493719799;0.0203752870880823;0.0263855276501278;0.0264984370739482;0.0311667302716944;0.0266788484511471;0.0229199465675228;0.0239449730692468;0.0281456717931416;0.0348539461672305;0.049331336098592;0.0713419744929187;0.0692808423423899,prime,wpdi,0.0288372800918244,0.0225,0.2,1.0,0.0125,,,,,,,,unknown
700,SFC_6185481,HVAC EQUIPMENT,2025-08-28,10890.0,10018.8,10890,15.99,60,MILWAUKEE,WI,264.77,2025-10-16,FL,728,Unsec Std - EPNI 36 Monotes,9909.9,0,0,108.9,92.0,91,9,0,0.315,0,3.73,97392,HD NOTE,prime,,,,Unsec Std - EPNI 36 Monotes,36.0,,0.0,0.0,0.214,0.0165,2e-05,0.15,36.0,,0.92,,,,0.011061839012006662,0.05925589123615005,,,,,PRIME,0,prime,epni,0.0,0.01438039071560866,0.24609999999999999,1.0,0.0115,True,0.0,0.01438039071560866,0.214,0.0,0.011061839012006662,0,standard
700,SFC_6185481,HVAC EQUIPMENT,2025-08-28,10890.0,10018.8,10890,15.99,60,MILWAUKEE,WI,264.77,2025-10-16,FL,728,Unsec Std - EPNI 36 Monotes,9909.9,0,0,108.9,92.0,91,9,0,0.315,0,3.73,97392,HD NOTE,prime,,,,Unsec Std - EPNI 36 Monotes,36.0,,0.0,0.0,0.214,0.02,2e-05,0.15,36.0,,0.9125,,,,0.012745879517815056,0.06469488957897784,,,,,SFY,0,sfy,epni,0.0,0.016569643373159575,0.24609999999999999,1.0,0.0125,True,0.0,0.016569643373159575,0.214,0.0,0.012745879517815056,0,standard
701,SFC_6005920,ROOFING MATERIAL,2025-07-07,10825.0,10139.78,10825,13.99,60,CARNEGIE,PA,251.82,2025-10-16,PA,705,24 Mth WPDI,9931.94,0,0,207.84,93.67,91.75,8.25,0,0.234,0,2.27,133010.4,RESIDENTIAL,prime,,,WP24,24 Mth WPDI,59.0,10000.0,2136.0,0.0291,0.1948,0.02,2e-05,0.35,24.0,0.8113887652096501,0.9291999999999999,0.012499999999999956,0.9167,0.08330000000000004,0.0123,0.10321129859987899,0.0013,0.0036548922195523523,0.0,0.0,PRIME,0.0538802514747746;0.0450107112074825;0.0290435059631223;0.0269110688933608;0.0329133419615629;0.03778226424726;0.0232883570793076;0.0303450750062364;0.0278511944142547;0.0204041596515225;0.0287588205249249;0.024276493719799;0.0203752870880823;0.0263855276501278;0.0264984370739482;0.0311667302716944;0.0266788484511471;0.0229199465675228;0.0239449730692468;0.0281456717931416;0.0348539461672305;0.049331336098592;0.0713419744929187;0.0692808423423899,prime,wpdi,0.0288372800918244,0.0225,0.2,1.0,0.0125,,,,,,,,unknown
702,SFC_6103853,HVAC EQUIPMENT,2025-08-04,10800.0,10719.0,10800,12.76,186,ANNAPOLIS,MD,143.76,2026-04-16,MD,728,Unsec Std - 1399 / 186notes,10503,0,0,216,99.25,97.25,2.75,0,0.1855,0,1.15,150000,HD NOTE,prime,,,,Unsec Std - 1399 / 186notes,186.0,,1399.0,0.01576536,0.23,0.0165,2e-05,0.15,6.0,,0.9925,,,,0.01576536,0.09747919486971401,,,,,PRIME,0.0489849142849816;0.0428030164624041;0.0419287220074737;0.0555459909257746;0.0882837424238861;0.116654180496246,prime,hybrid,0.020494968,0.020494968,0.2645,1.0,0.0115,True,0.020494968,0.020494968,0.23,0.01576536,0.01576536,0.0489849142849816;0.0428030164624041;0.0419287220074737;0.0555459909257746;0.0882837424238861;0.116654180496246,standard
702,SFC_6103853,HVAC EQUIPMENT,2025-08-04,10800.0,10719.0,10800,12.76,186,ANNAPOLIS,MD,143.76,2026-04-16,MD,728,Unsec Std - 1399 / 186notes,10503,0,0,216,99.25,97.25,2.75,0,0.1855,0,1.15,150000,HD NOTE,prime,,,,Unsec Std - 1399 / 186notes,186.0,,1399.0,0.03702192,0.23,0.02,2e-05,0.15,6.0,,0.985,,,,0.03702192,0.08195174768861513,,,,,SFY,0.0489849142849816;0.0428030164624041;0.0419287220074737;0.0555459909257746;0.0882837424238861;0.116654180496246,sfy,hybrid,0.048128496,0.048128496,0.2645,1.0,0.0125,True,0.048128496,0.048128496,0.23,0.03702192,0.03702192,0.0489849142849816;0.0428030164624041;0.0419287220074737;0.0555459909257746;0.0882837424238861;0.116654180496246,standard
703,SFC_5902987,PATIO ROOM,2025-06-09,10800.0,10666.08,10800,9.9,180,PASADENA,MD,115.4,2025-10-16,MD,756,Unsec Std - 990 - 180,10152,0,0,514.08,98.76,94,6,0,0.3362,0,0.88,157200,RESIDENTIAL,prime,,,990 - 180,Unsec Std - 990 - 180,180.0,10000.0,990.0,0.0,0.1679,0.02,2e-05,0.35,0.0,,0.9801,0.012499999999999956,0.9676,0.032399999999999984,0.0207,0.07056702765910927,0.0628,0.08601302135113863,0.0,0.0,PRIME,0,prime,standard,0.0,0.025063500000000006,0.2,1.0,0.0125,,,,,,,,standard
704,SFC_6139782,HVAC EQUIPMENT,2025-08-14,10788.0,10833.31,10788,12.9,180,MOUNTAIN HOME,ID,135.79,2025-10-16,ID,724,Unsec Std - 1290 - 180,10788,16.18,0,29.13,100.42,100,0,0.0015,0.4695,0,1.91,85200,RESIDENTIAL,prime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standard
705,SFC_6106513,ROOFING MATERIAL,2025-08-05,10776.8,10405.0,10776.8,9.35,123,HUDSON,FL,141.82,2026-01-16,FL,769,Unsec Std - 990 - 123,10148.36,0,37.8,218.84,96.55,94.5,5.5,0,0.294,0,3.55,48000,RESIDENTIAL,prime,,,NINP4331,Unsec Std - 990 - 123,123.0,10000.0,990.0,0.0166,0.1696,0.02,2e-05,0.35,3.0,0.13000000000000003,0.958,0.012499999999999956,0.9455,0.05449999999999999,0.0166,0.07452730435873711,0.00955,0.0002372249157508535,0.0,0.0,PRIME,0.0363405847853139;0.0425899377937978;0.0510694774208883,prime,hybrid,0.0227,0.0242185,0.22,1.0,0.0125,,,,,,,,standard
706,SFC_6158199,HVAC EQUIPMENT,2025-08-20,10763.0,9525.26,10763,15.99,60,LOUISVILLE,KY,261.68,2025-10-16,KY,739,Unsec Std - EPNI 60 Monotes,9471.44,0,0,53.82,88.5,88,12,0,0.4289,0,4.51,69600,HD NOTE,prime,,,,Unsec Std - EPNI 60 Monotes,60.0,,0.0,0.0,0.139,0.0165,2e-05,0.15,60.0,,0.885,,,,0.010313210857813173,0.0535676402136982,,,,,PRIME,0,prime,epni,0.0,0.013407174115157124,0.15985,1.0,0.0115,True,0.0,0.013407174115157124,0.139,0.0,0.010313210857813173,0,standard
706,SFC_6158199,HVAC EQUIPMENT,2025-08-20,10763.0,9525.26,10763,15.99,60,LOUISVILLE,KY,261.68,2025-10-16,KY,739,Unsec Std - EPNI 60 Monotes,9471.44,0,0,53.82,88.5,88,12,0,0.4289,0,4.51,69600,HD NOTE,prime,,,,Unsec Std - EPNI 60 Monotes,60.0,,0.0,0.0,0.139,0.02,2e-05,0.15,60.0,,0.8775,,,,0.015293939643738309,0.053756466862924235,,,,,SFY,0,sfy,epni,0.0,0.019882121536859802,0.15985,1.0,0.0125,True,0.0,0.019882121536859802,0.139,0.0,0.015293939643738309,0,standard
707,SFC_6057456,WINDOWS/DOORS,2025-07-22,10761.0,9736.55,10761,23.99,60,CENTERBURG,OH,309.51,2027-06-16,OH,715,NINP - 20 Mo,9442.78,0,0,293.77,90.48,87.75,12.25,0,0.1475,0,5.69,65196,RESIDENTIAL,prime,,,NINP20,NINP - 20 Mo,99.0,10000.0,2145.0,0.0114,0.3365,0.02,2e-05,0.35,20.0,0.7803,0.8973,0.012499999999999956,0.8848,0.11519999999999997,0.0726,0.08215117463215016,0.0066,0.011901400675684284,0.0,0.0,PRIME,0.046;0.0307;0.0307;0.0307;0.0307;0.0307;0.0307;0.0307;0.0307;0.0307;0.0307;0.0307;0.0307;0.0307;0.0307;0.0307;0.0307;0.0471;0.0911;0.1049,prime,ninp,0.0257,0.0726,0.3365,1.0,0.0125,,,,,,,,ninp
707,SFC_6057456,WINDOWS/DOORS,2025-07-22,10761.0,9736.55,10761,23.99,60,CENTERBURG,OH,309.51,2027-06-16,OH,715,NINP - 20 Mo,9442.78,0,0,293.77,90.48,87.75,12.25,0,0.1475,0,5.69,65196,RESIDENTIAL,prime,,,NINP20,NINP - 20 Mo,96.0,10000.0,2200.0,0.013222633524994162,0.2719,0.02,2e-05,0.35,20.0,0.8839999999999999,0.8949,0.012499999999999956,0.8824000000000001,0.11759999999999993,0.013222633524994162,0.0826715029780134,0.0085,0.01881535978886887,0.0,0.0,SFY,0.031;0.0305;0.0305;0.0305;0.0305;0.0305;0.0305;0.0305;0.0305;0.0305;0.0305;0.0305;0.0305;0.0305;0.0305;0.0305;0.0305;0.04;0.15;0.175,sfy,ninp,0.0304,0.02,0.45,1.0,0.0125,,,,,,,,ninp
708,SFC_6182261,HVAC EQUIPMENT,2025-08-27,10732.7,10378.52,10732.7,19.5,60,ORLANDO,FL,281.37,2025-10-16,FL,757,18 Mth WPDI,9978.67,64.17,37.45,298.23,96.7,93.3,6.7,0.006,0.3409,0,3.75,89976,RESIDENTIAL,prime,,,WP18,18 Mth WPDI,59.0,10000.0,2136.0,0.0186,0.2705,0.02,2e-05,0.35,18.0,0.7855632646651717,0.9594999999999999,0.012499999999999956,0.947,0.05300000000000005,0.0531,0.09621847590426391,0.01295,0.018253998014788872,0.05,2083333.3333333333,PRIME,0.0628324181433995;0.0408385410486935;0.0369529552615553;0.0342505855761147;0.0360444673455377;0.0342760224870836;0.034925225567199;0.0325781332673581;0.033301047422053;0.0336283273168834;0.036171644516601;0.0363542883332323;0.0358565574961247;0.0356553513213916;0.039832222527633;0.0498596224428832;0.0778039535101948;0.094401901081233,prime,wpdi,0.015,0.05,0.25,1.0,0.0125,,,,,,,,unknown
708,SFC_6182261,HVAC EQUIPMENT,2025-08-27,10732.7,10378.52,10732.7,19.5,60,ORLANDO,FL,281.37,2025-10-16,FL,757,18 Mth WPDI,9978.67,64.17,37.45,298.23,96.7,93.3,6.7,0.006,0.3409,0,3.75,89976,RESIDENTIAL,prime,,,WP18,18 Mth WPDI,58.0,10000.0,2200.0,0.0251,0.2570131893885484,0.02,2e-05,0.35,18.0,0.8202705769902632,0.9592,0.012499999999999956,0.9467000000000001,0.0532999999999999,0.0643,0.07946255199583696,0.1951,0.041090767478203234,0.05,2083333.3333333333,SFY,0.0652777389894097;0.0356953756194261;0.034058164028278;0.0279406174401888;0.031594188639639;0.0340876225347276;0.0330167624837598;0.0298519380389914;0.0339574704072298;0.0358908101981715;0.0344087960474102;0.0341519438576293;0.0374083860415759;0.0324308183993861;0.0438555113830001;0.0622556562993365;0.0907677106631277;0.123621065918976,sfy,wpdi,0.013,0.0643,0.3,1.0,0.0125,,,,,,,,unknown
709,SFC_6151574,ARTIFICIAL TURF,2025-08-18,10698.0,10309.66,10698,12.14,123,STOCKTON,CA,159.1,2026-01-16,CA,712,Unsec Std - 1290 - 123,10163.1,42.79,0,103.77,96.37,95,5,0.004,0.16,0,1.33,144108,RESIDENTIAL,prime,,,NINP4348,Unsec Std - 1290 - 123,123.0,10000.0,1290.0,0.0333,0.1358,0.02,2e-05,0.35,3.0,0.13000000000000003,0.9561999999999999,0.012499999999999956,0.9437,0.05630000000000002,0.0333,0.08969832498770458,0.0036,0.0041089335844281425,0.0,0.0,PRIME,0.0363405847853139;0.0425899377937978;0.0510694774208883,prime,hybrid,0.0449,0.0575,0.15,1.0,0.0125,,,,,,,,standard
709,SFC_6151574,ARTIFICIAL TURF,2025-08-18,10698.0,10309.66,10698,12.14,123,STOCKTON,CA,159.1,2026-01-16,CA,712,Unsec Std - 1290 - 123,10163.1,42.79,0,103.77,96.37,95,5,0.004,0.16,0,1.33,144108,RESIDENTIAL,prime,,,,Unsec Std - 1290 - 123,123.0,10000.0,1290.0,0.031219388962685155,0.316,0.02,2e-05,0.35,3.0,,0.9538,0.012499999999999956,0.9413,,0.031219388962685155,0.09556529235883904,0.0,0.0,0.0,0.0,SFY,0.043671159274204605;0.05118112347006197;0.06137114456670246,sfy,hybrid,0.039,0.039,0.25,1.0,0.0125,,,,,,,,standard
710,SFC_6193698,HVAC EQUIPMENT,2025-09-02,10679.0,10326.59,10679,23.99,60,TALLMADGE,OH,307.15,2025-10-16,OH,769,18 Mth WPDI,10161.07,16.02,0,149.5,96.7,95.15,4.85,0.0015,0.4966,0,6.14,60000,RESIDENTIAL,prime,,,WP18,18 Mth WPDI,59.0,10000.0,2136.0,0.0186,0.2705,0.02,2e-05,0.35,18.0,0.7855632646651717,0.9594999999999999,0.012499999999999956,0.947,0.05300000000000005,0.0531,0.09621847590426391,0.01295,0.018253998014788872,0.05,2083333.3333333333,PRIME,0.0628324181433995;0.0408385410486935;0.0369529552615553;0.0342505855761147;0.0360444673455377;0.0342760224870836;0.034925225567199;0.0325781332673581;0.033301047422053;0.0336283273168834;0.036171644516601;0.0363542883332323;0.0358565574961247;0.0356553513213916;0.039832222527633;0.0498596224428832;0.0778039535101948;0.094401901081233,prime,wpdi,0.015,0.05,0.25,1.0,0.0125,,,,,,,,unknown
710,SFC_6193698,HVAC EQUIPMENT,2025-09-02,10679.0,10326.59,10679,23.99,60,TALLMADGE,OH,307.15,2025-10-16,OH,769,18 Mth WPDI,10161.07,16.02,0,149.5,96.7,95.15,4.85,0.0015,0.4966,0,6.14,60000,RESIDENTIAL,prime,,,WP18,18 Mth WPDI,58.0,10000.0,2200.0,0.0251,0.2570131893885484,0.02,2e-05,0.35,18.0,0.8202705769902632,0.9592,0.012499999999999956,0.9467000000000001,0.0532999999999999,0.0643,0.07946255199583696,0.1951,0.041090767478203234,0.05,2083333.3333333333,SFY,0.0652777389894097;0.0356953756194261;0.034058164028278;0.0279406174401888;0.031594188639639;0.0340876225347276;0.0330167624837598;0.0298519380389914;0.0339574704072298;0.0358908101981715;0.0344087960474102;0.0341519438576293;0.0374083860415759;0.0324308183993861;0.0438555113830001;0.0622556562993365;0.0907677106631277;0.123621065918976,sfy,wpdi,0.013,0.0643,0.3,1.0,0.0125,,,,,,,,unknown
711,SFC_6155797,HVAC EQUIPMENT,2025-08-19,10678.0,10002.08,10678,17.99,60,WINSTON SALEM,NC,271.09,2025-10-16,NC,756,24 Mth WPDI,9636.9,133.48,0,231.7,93.67,90.25,9.75,0.0125,0.3777,0,4.17,78000,RESIDENTIAL,prime,,,WP24,24 Mth WPDI,59.0,10000.0,2136.0,0.0291,0.1948,0.02,2e-05,0.35,24.0,0.8113887652096501,0.9291999999999999,0.012499999999999956,0.9167,0.08330000000000004,0.0123,0.10321129859987899,0.0013,0.0036548922195523523,0.0,0.0,PRIME,0.0538802514747746;0.0450107112074825;0.0290435059631223;0.0269110688933608;0.0329133419615629;0.03778226424726;0.0232883570793076;0.0303450750062364;0.0278511944142547;0.0204041596515225;0.0287588205249249;0.024276493719799;0.0203752870880823;0.0263855276501278;0.0264984370739482;0.0311667302716944;0.0266788484511471;0.0229199465675228;0.0239449730692468;0.0281456717931416;0.0348539461672305;0.049331336098592;0.0713419744929187;0.0692808423423899,prime,wpdi,0.0288372800918244,0.0225,0.2,1.0,0.0125,,,,,,,,unknown
